datetime,timestamp,price,coin_id,vs_currency,market_cap,volume
2024-12-29 19:00:00,1735516800000,2.095671915727654,ripple,usd,120314515334.02428,2675953522.389836
2024-12-30 19:00:00,1735603200000,2.056730467743344,ripple,usd,117950842451.00076,6059015353.124691
2024-12-31 19:00:00,1735689600000,2.079333460354608,ripple,usd,119440097047.7968,4128284760.622494
2025-01-01 19:00:00,1735776000000,2.315149796797427,ripple,usd,132989230251.90656,6878704641.749808
2025-01-02 19:00:00,1735862400000,2.40463192614464,ripple,usd,138114900580.5372,7459376387.38519
2025-01-03 19:00:00,1735948800000,2.4548598712183725,ripple,usd,140904684872.33817,5864224741.784014
2025-01-04 19:00:00,1736035200000,2.4239342995923985,ripple,usd,139171492627.42844,4561813417.310058
2025-01-05 19:00:00,1736121600000,2.403897929295378,ripple,usd,138016718840.73596,4325348371.227318
2025-01-06 19:00:00,1736208000000,2.4191703139906173,ripple,usd,138948192568.01584,4601519396.54358
2025-01-07 19:00:00,1736294400000,2.277173382256464,ripple,usd,130820594444.53995,6652119689.816548
2025-01-08 19:00:00,1736380800000,2.3749601881392275,ripple,usd,136415155142.45451,7697257372.31326
2025-01-09 19:00:00,1736467200000,2.2766790697699415,ripple,usd,131013170943.18855,5639756658.075597
2025-01-10 19:00:00,1736553600000,2.34255697398572,ripple,usd,134623347999.18698,4846732925.585662
2025-01-11 19:00:00,1736640000000,2.5750017025465097,ripple,usd,148073207239.45142,6968218335.110517
2025-01-12 19:00:00,1736726400000,2.506265236852104,ripple,usd,143972439143.77383,4880658835.456561
2025-01-13 19:00:00,1736812800000,2.521790688596697,ripple,usd,144973001160.1348,9352507594.244612
2025-01-14 19:00:00,1736899200000,2.665683799958985,ripple,usd,153183275031.40637,7423364604.740665
2025-01-15 19:00:00,1736985600000,3.1717669545860816,ripple,usd,182346998821.3068,23417331296.55123
2025-01-16 19:00:00,1737072000000,3.2435591355149156,ripple,usd,186758698075.1875,24889336467.66615
2025-01-17 19:00:00,1737158400000,3.3071606262102122,ripple,usd,190386076856.00772,13491956428.691526
2025-01-18 19:00:00,1737244800000,3.2791397325625398,ripple,usd,188798080040.87268,10204987556.110008
2025-01-19 19:00:00,1737331200000,2.9594983276278826,ripple,usd,171067792033.8191,13089511624.10229
2025-01-20 19:00:00,1737417600000,3.0942466604471988,ripple,usd,178304533111.39474,18183898272.877342
2025-01-21 19:00:00,1737504000000,3.17189708695212,ripple,usd,182080583719.03888,9483639114.30823
2025-01-22 19:00:00,1737590400000,3.165211637985352,ripple,usd,182211918798.90054,7359947674.323075
2025-01-23 19:00:00,1737676800000,3.1221750787983638,ripple,usd,179846211928.48206,7860588482.871526
2025-01-24 19:00:00,1737763200000,3.1030936929352904,ripple,usd,178687952164.23227,6165183598.347699
2025-01-25 19:00:00,1737849600000,3.1112088914665423,ripple,usd,179333230200.2371,3013156759.4045396
2025-01-26 19:00:00,1737936000000,3.0173114670832017,ripple,usd,174315205302.41763,3093938754.203019
2025-01-27 19:00:00,1738022400000,3.050802421938607,ripple,usd,175549811985.1664,14811833894.587118
2025-01-28 19:00:00,1738108800000,3.0611147556516607,ripple,usd,176293961831.06848,8515976594.593953
2025-01-29 19:00:00,1738195200000,3.0691756838533526,ripple,usd,177065119441.67078,6362709455.940402
2025-01-30 19:00:00,1738281600000,3.1319365812312867,ripple,usd,180743899111.4196,4444654575.269272
2025-01-31 19:00:00,1738368000000,3.0378089439522897,ripple,usd,175326105898.6084,4079932391.7375703
2025-02-01 19:00:00,1738454400000,2.8808649918084224,ripple,usd,166457043070.02295,4285675849.353482
2025-02-02 19:00:00,1738540800000,2.5701343337873217,ripple,usd,147851780048.77136,13660382309.418026
2025-02-03 19:00:00,1738627200000,2.692671869551836,ripple,usd,155372328311.50732,31670736568.02988
2025-02-04 19:00:00,1738713600000,2.5396358959727894,ripple,usd,146391101372.16553,12051077026.669235
2025-02-05 19:00:00,1738800000000,2.382739358632423,ripple,usd,137388137146.75491,6660157683.363499
2025-02-06 19:00:00,1738886400000,2.3220918869431886,ripple,usd,134102194064.824,6304942916.816331
